"date","material","colada","prod"
2023-01-20,303479,"B00011668",98
2023-01-20,303479,"B00011669",132.408
2023-01-20,303479,"B00011670",127.504
2023-01-20,303479,"B00011671",134.86
2023-01-20,303479,"B00011672",132.408
2023-01-20,303479,"B00011673",136
2023-01-21,303661,"B00011684",169.2
2023-01-21,303661,"B00011685",104.488
2023-01-21,303661,"B00011686",138.376
2023-01-21,303661,"B00011687",138.376
2023-01-21,303661,"B00011688",135.552
2023-01-21,303661,"B00011689",132.634
2023-01-21,303661,"B00011690",132.634
2023-01-21,303661,"B00011691",132.634
2023-01-21,303661,"B00011692",129.812
2023-01-21,303661,"B00011693",129.72
2023-01-21,303661,"B00011694",129.72
2023-01-21,303661,"B00011695",129.72
2023-01-21,303661,"B00011696",129.72
2023-01-21,303661,"B00011697",129.766
2023-01-21,303661,"B00011698",126.945
2023-01-21,303661,"B00011699",101.556
2023-01-21,303661,"B00011700",132.587
2023-01-21,303710,"B00011701",160.968
2023-01-21,303710,"B00011702",132.728
2023-01-21,303710,"B00011703",132.728
2023-01-21,303710,"B00011704",132.728
2023-01-21,303710,"B00011705",135.552
2023-01-21,303710,"B00011706",135.552
2023-01-21,303710,"B00011707",135.552
2023-01-21,303710,"B00011708",107.312
2023-01-21,303710,"B00011709",189.208
2023-01-21,303710,"B00011710",110.6
2023-01-21,303710,"B00011711",116.13
2023-01-21,303710,"B00011712",135.485
2023-02-01,303458,"B00011723",141.44
2023-02-01,303462,"B00011724",134.36
2023-02-01,303462,"B00011725",129.72
2023-02-01,303462,"B00011726",129.72
2023-02-01,303462,"B00011727",132.54
2023-02-01,303462,"B00011728",129.72
2023-02-01,303462,"B00011729",129.72
2023-02-01,303462,"B00011730",129.628
2023-02-01,303462,"B00011731",129.628
2023-02-01,303462,"B00011732",126.81
2023-02-01,303462,"B00011733",129.628
2023-02-01,303462,"B00011734",135.168
2023-02-01,303462,"B00011735",135.168
2023-02-01,303462,"B00011736",129.536
2023-02-01,303462,"B00011737",132.352
2023-02-01,303462,"B00011738",132.54
2023-02-01,303462,"B00011739",138.18
2023-02-01,303661,"B00011713",121.26
2023-02-01,303661,"B00011714",129.72
2023-02-01,303661,"B00011715",124.08
2023-02-01,303661,"B00011716",124.08
2023-02-01,303661,"B00011717",126.9
2023-02-01,303661,"B00011718",132.54
2023-02-01,303661,"B00011719",129.72
2023-02-01,303661,"B00011720",126.9
2023-02-01,303661,"B00011721",135.36
2023-02-01,303661,"B00011722",101.52
2023-02-02,303456,"B00011752",107.16
2023-02-02,303456,"B00011753",129.84
2023-02-02,303456,"B00011764",107.01
2023-02-02,303458,"B00011750",106.08
2023-02-02,303458,"B00011751",157.76
2023-02-02,303458,"B00011765",119.68
2023-02-02,303461,"B00011740",127.84
2023-02-02,303461,"B00011741",122.49
2023-02-02,303461,"B00011742",136.1
2023-02-02,303461,"B00011743",130.656
2023-02-02,303461,"B00011744",130.656
2023-02-02,303461,"B00011745",125.212
2023-02-02,303461,"B00011746",130.656
2023-02-02,303461,"B00011747",119.768
2023-02-02,303461,"B00011748",127.934
2023-02-02,303461,"B00011749",155.04
2023-02-02,303466,"B00011754",127.5
